season,rule,p_champion_change,p_top3_change,rho_F,rho_J,drama_D,drama_D_late,upset_rate,suspense_H,suspense_H_late
7,percent,0.27,0.28,0.9485164835164835,0.9388461538461539,0.5001049944731834,0.4137384954266988,0.4277777777777778,1.2467386820793829,1.1712455153581407
7,percent_save,0.22,0.23,0.9453846153846155,0.9454395604395606,0.515767352756636,0.43989591616656903,0.3655555555555556,1.1218320716727468,0.9517450261310451
8,rank,0.0,0.0,0.9331818181818181,0.8647272727272728,0.5337107409649922,0.3956666666666666,0.18,1.12899066382933,0.9116199275099025
8,rank_save,0.26,0.88,0.8867272727272728,0.8271818181818182,0.49211415184203877,0.22566666666666668,0.10300000000000001,0.7783208053214663,0.4702882962552635
8,percent,0.26,0.33,0.9451818181818181,0.9001818181818184,0.5350058988492536,0.355,0.20099999999999998,1.1755777006327803,1.040898431080013
8,percent_save,0.21,0.7,0.922909090909091,0.8890000000000002,0.5424423430554522,0.315,0.125,1.0050845776487896,0.7738442158094911
9,rank,0.0,0.0,0.9554725274725275,0.9296155240262123,0.5682586168091736,0.663485057760319,0.39111111111111113,1.239453279606556,1.3585678124099
9,rank_save,0.27,0.32,0.9442637362637362,0.9431908897767073,0.5811290931549368,0.8070256505152891,0.2644444444444444,1.0989575744406184,1.0767915942050323
9,percent,0.32,0.52,0.9527032967032969,0.9173162866606908,0.5998444288678875,0.7386923171819558,0.43,1.3889277240277882,1.3907536170434323
9,percent_save,0.23,0.51,0.947912087912088,0.9275913203810816,0.585174963675748,0.7503589838486225,0.3766666666666667,1.3113174950579052,1.2833996837162716
10,rank,0.0,0.0,0.9226666666666667,0.9105,0.341344801535434,0.29535516411752116,0.03666666666666667,0.9801497839301078,1.080080402990453
10,rank_save,0.13,0.3,0.9566666666666666,0.9523333333333333,0.38575606403503326,0.3891065296509359,0.012222222222222223,0.49630058681341205,0.43925642739153387
10,percent,0.19,0.46,0.9385000000000001,0.9216666666666667,0.3629778316848482,0.3293678581420515,0.05777777777777778,1.0477009619432407,1.1209968663550844
10,percent_save,0.21,0.32,0.9598333333333332,0.9558333333333334,0.3862775971167508,0.40083185446670105,0.013333333333333332,0.574897737895107,0.610859426039927
11,rank,0.0,0.0,0.9550000000000002,0.9393636363636365,0.6277817464446422,0.46598870378000895,0.15000000000000002,0.9835322133027385,0.7442932017118181
11,rank_save,0.3,0.85,0.9333636363636364,0.9408181818181818,0.5616451259411775,0.28770271983336776,0.0811111111111111,0.7323226760845213,0.5642330775929809
11,percent,0.34,0.28,0.9628181818181818,0.9446363636363637,0.6098045487091346,0.42735667491612256,0.18333333333333332,1.0995752081348247,1.0768610068377111
11,percent_save,0.39,0.83,0.947090909090909,0.9505454545454546,0.5633196281889237,0.3073023035163608,0.1111111111111111,0.8158187592135855,0.6799540922212682
12,rank,0.0,0.0,0.9460000000000001,0.925,0.7479095677232073,1.024333333333333,0.10444444444444444,1.0168654594995494,0.9612362509757567
12,rank_save,0.2,0.66,0.9303333333333336,0.9330000000000002,0.7111738651570515,1.0163333333333333,0.026666666666666665,0.7293117699961363,0.6698133020446493
12,percent,0.22,0.44,0.9450000000000002,0.9258333333333334,0.7141998664831354,0.963,0.09444444444444444,1.0664803283912494,1.1068010917116424
12,percent_save,0.2,0.53,0.945,0.9328333333333336,0.765220097269497,1.1090000000000002,0.02888888888888889,0.8633847014375122,0.9039258003613658
13,rank,0.0,0.0,0.9323636363636365,0.9023636363636364,0.6184201486871579,0.6284885372247305,0.06555555555555555,0.6527370569889483,0.8924762928860401
13,rank_save,0.2,0.19,0.9205454545454548,0.8795454545454544,0.641728179701904,0.6957415208062169,0.008888888888888889,0.2643933150103508,0.33040656679731667
13,percent,0.28,0.37,0.9560909090909092,0.8713636363636366,0.6581937532722033,0.6382786288230148,0.20111111111111113,1.0567779950468985,1.0354695507063312
13,percent_save,0.17,0.26,0.9452727272727273,0.8962727272727272,0.6488655809789108,0.6772784067493102,0.08,0.7325812336953499,0.7455445360619796
14,rank,0.0,0.0,0.9443333333333334,0.9168333333333334,0.5158085159834964,0.4066666666666667,0.14333333333333334,1.0228356360316504,1.0594576152135013
14,rank_save,0.3,0.24,0.9230000000000002,0.9158333333333336,0.4721554117883443,0.26933333333333337,0.12777777777777777,0.8372358075863008,0.7625983069160434
14,percent,0.16,0.44,0.9326666666666666,0.8965000000000001,0.5878736275297265,0.6413333333333333,0.21333333333333332,1.1676956215620184,1.1841944247972787
14,percent_save,0.74,0.38,0.9368333333333334,0.9243333333333336,0.6068410875772015,0.6746666666666666,0.18888888888888888,0.8832863521850912,0.889575191975314
15,rank,0.0,0.0,0.9063030303030303,0.9261818181818181,0.5563704162056946,0.3903333333333333,0.13,0.6163397171268705,0.8169264120447753
15,rank_save,0.12,0.44,0.901939393939394,0.9238787878787877,0.5340853124182846,0.31847619047619047,0.08666666666666667,0.38921821931632933,0.6314404070526337
15,percent,0.16,0.47,0.937939393939394,0.9096969696969696,0.5663040830338266,0.4193809523809524,0.26,1.256541553284886,1.2953534070075934
15,percent_save,0.16,0.42,0.9235151515151516,0.9305454545454543,0.5760995486869153,0.3835238095238095,0.1822222222222222,0.9890350414044997,1.0968309265510072
