season,week,n_active,n_elim,coverage_90,accuracy,top2_acc,brier,post_var_v_mean,avg_ci_width
1,2,5,1,1,1,1,0.06567992975142782,0.0075428209822441155,0.300566351922348
1,3,4,1,1,1,1,0.13208148987294108,0.0075428209822441155,0.3259631235548028
1,5,3,1,1,1,1,0.0010176339391664963,0.0075428209822441155,0.403840966758694
10,2,9,1,1,0,1,0.8472068867703992,0.005394650134627723,0.21769631319372795
10,3,8,1,1,1,1,0.14814415504951575,0.005394650134627723,0.24142416170593134
10,5,7,1,1,1,1,0.09474472606132706,0.005394650134627723,0.27003854717199466
10,6,6,1,1,1,1,0.09908591963682517,0.005394650134627723,0.3089255478946266
10,8,5,1,1,1,1,0.180791658708878,0.005394650134627723,0.3530617464716197
10,9,4,1,1,1,1,0.17452249410311482,0.005394650134627723,0.4294592974410152
11,1,11,1,1,1,1,0.1961317977155976,0.0037600825097843854,0.16953359055219
11,2,10,1,1,1,1,0.02207253225569788,0.0037600825097843854,0.1844975425308482
11,3,9,1,1,1,1,0.1288877010399362,0.0037600825097843854,0.19992555849081112
11,4,8,1,1,1,1,0.0904306765154499,0.0037600825097843854,0.22235260106175725
11,5,7,1,1,1,1,0.29068462016050417,0.0037600825097843854,0.2506890706907309
11,6,6,1,1,0,1,0.7029084962702641,0.0037600825097843854,0.2861195693362566
11,8,5,1,1,1,1,0.1984044985021463,0.0037600825097843854,0.33505541589394544
11,9,4,1,1,1,1,0.07988312955247581,0.0037600825097843854,0.40161058953538004
12,2,9,1,1,1,1,0.2233021983572538,0.0052821276891179,0.21268288798483953
12,3,8,1,1,1,1,0.04207715559250545,0.0052821276891179,0.23867660526685008
12,4,7,1,1,1,1,0.31646903728615494,0.0052821276891179,0.26581117941752025
12,6,6,1,1,1,1,0.06331170243282906,0.0052821276891179,0.30443190419607413
12,7,5,1,1,1,1,0.27478775366421637,0.0052821276891179,0.3545461649983329
12,8,4,1,1,1,1,0.18332734192018627,0.0052821276891179,0.4343552675668711
12,9,3,1,1,1,1,0.016042531020584325,0.0052821276891179,0.5408795863260338
13,1,11,1,1,1,1,0.027704387128003813,0.003361305015841255,0.16528598870454364
13,3,10,1,1,1,1,0.23214307052614855,0.003361305015841255,0.1746190269504015
13,4,9,1,1,1,1,0.1499997062506207,0.003361305015841255,0.19308903159170832
13,5,8,1,1,1,1,0.06536779047016668,0.003361305015841255,0.21226217131434055
13,6,7,1,1,1,1,0.17545364413377623,0.003361305015841255,0.23895044653962336
13,7,6,1,1,1,1,0.18287846818648615,0.003361305015841255,0.2730128804467643
13,8,5,1,1,1,1,0.10449311458514789,0.003361305015841255,0.32222994870260757
13,9,4,1,1,1,1,0.03505404638221366,0.003361305015841255,0.3997343473537324
14,3,9,1,1,1,1,0.2395900268164679,0.0037235758235331156,0.19657483569142245
14,4,8,1,1,1,1,0.1593551932069032,0.0037235758235331156,0.2164256266113036
14,5,7,1,1,1,1,0.0631638888287681,0.0037235758235331156,0.24133267492801905
14,6,6,1,1,1,1,0.034592845064390434,0.0037235758235331156,0.2765119477955379
14,7,5,1,1,1,1,0.18519005962644575,0.0037235758235331156,0.32459326927187593
14,8,4,2,1,1,1,0.6721123937999528,0.0037235758235331156,0.3899713534356503
14,9,2,1,1,1,1,0.044325864777288816,0.0037235758235331156,0.6509530771516534
15,2,10,1,1,1,1,0.4721148933366098,0.003680876633560198,0.17812035892948916
15,3,9,1,1,1,1,0.28384442909874813,0.003680876633560198,0.19723321055056464
15,4,8,1,1,1,1,0.33363141297610877,0.003680876633560198,0.2177115935169992
15,6,7,1,1,1,1,0.27355926641782763,0.003680876633560198,0.2414136966269522
15,8,6,1,1,1,1,0.12426637168993412,0.003680876633560198,0.26757696854760116
15,9,5,2,1,1,1,0.6549761011796884,0.003680876633560198,0.3125282903160559
16,2,10,1,1,1,1,0.09788737258525522,0.004856601428204819,0.19733844529047195
16,3,9,1,1,1,1,0.12657011737042884,0.004856601428204819,0.21610418574039467
16,5,8,1,1,1,1,0.18312390284121688,0.004856601428204819,0.23951588211100125
