Dancing with the Stars - All Seasons Summary (1-34),Unnamed: 1,Unnamed: 2,Unnamed: 3,Season_Sheet,Couple,Pl,Wk1,Wk2,Wk1+2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk6+7,Wk9,Wk10N1,Wk10N2,Wk1N1,Wk1N2,Wk3+4,Wk10,Wk11N1,Wk11N2,Wk5+6,Wk7+8,Wk2N1,Wk2N2,Wk11,Wk4N1,Wk4N2,Wk4-1+2,Wk5N1,Wk5N2,Wk5-1+2,Wk10+11,Wk3N1,Wk3N2,Wk3-1+2,Wk8+9
,,,,S1,Trista & Louis,6th,18,19,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Drew & Cheryl,1st,24,27.0,,27.0,28.0,27.0,30.0,26+29=55,30+30+27=87,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Jerry & Anna,2nd,21,23.0,,19.0,24.0,23.0,23.0,20+21=41,26+27+27=80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Stacy & Tony,3rd,22,29.0,,27.0,26.0,30.0,30.0,27+28=55,30+26+30=86,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Lisa & Louis,4th,19,20.0,,25.0,26.0,25.0,27.0,26+27=53,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,George & Edyta,5th,18,22.0,,22.0,21.0,24.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Tia & Maks,6th,20,22.0,,26.0,25.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Master P & Ashly,7th,12,16.0,,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Giselle & Jonathan,8th,23,24.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Tatum & Nick,9th,23,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S2,Kenny & Andrea,10th,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Emmitt & Cheryl,1st,24,24.0,,19.0,24.0,27.0,25.0,28+29=57,25+29=54,82.0,29+30=59,30+30=60,+29=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Mario & Karina,2nd,26,21.0,,22.0,29.0,27.0,28.0,29+27=56,28+29=57,84.0,30+29=59,29+30=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Joey & Edyta,3rd,21,29.0,,22.0,27.0,25.0,24.0,29+28=57,28+26=54,81.0,29+30=59,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Monique & Louis,4th,19,26.0,,27.0,24.0,27.0,23.0,27+27=54,24+29=53,77.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Jerry & Kym,5th,16,19.0,,21.0,22.0,24.0,18.0,24+22=46,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Sara & Tony,6th,15,21.0,,25.0,20.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Willa & Maks,7th,22,23.0,,22.0,28.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Vivica & Nick,8th,22,24.0,,27.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Harry & Ashly,9th,17,21.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Shanna & Jesse,10th,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S3,Tucker & Elena,11th,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Apolo & Julianne,1st,21,26,47.0,23.0,26.0,30.0,28.0,26+28=54,28+30=58,,30+29=59,28+30=58,+30=88,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Joey & Kym,2nd,24,24,48.0,24.0,28.0,25.0,27.0,29+30=59,26+29=55,,30+30=60,26+30=56,+30=86,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Laila & Maks,3rd,23,27,50.0,21.0,21.0,28.0,28.0,29+30=59,27+26=53,,30+30=60,29+26=55,+30=85,,,,,,,,,,,,,,,,,,,,,,
