season,rule,Obj_F,Obj_J
1,rank,0.5243773949903288,0.8856313774648378
1,percent,0.23809523809523805,0.9119047619047619
2,rank,0.5041839923728214,0.6951421704283745
2,percent,0.13358585858585859,0.8289100934427577
3,rank,0.5207897892135984,0.7576498640873652
3,percent,-0.09287291181147811,0.9384792047934046
4,rank,0.6062233226922764,0.9048973964766056
4,percent,0.10636506880598674,0.9878256126693898
5,rank,0.37944032888920853,0.8782705340475504
5,percent,-0.1301105355807104,0.9825089544762162
6,rank,0.5476137947044162,0.8408210338376543
6,percent,-0.10211003025488764,0.9781452618522882
7,rank,0.4184070203805971,0.8270820819145477
7,percent,-0.21408385216158127,0.9641603677512064
8,rank,0.6628517473348791,0.8176462166454038
8,percent,0.09822761509893048,0.9835491326494196
9,rank,0.7115929177909646,0.8625817793441565
9,percent,0.09071841440600656,0.9941330940493696
10,rank,0.4243819547261319,0.9504810703886977
10,percent,-0.24545454545454545,0.9888384992777499
11,rank,0.46887901261495935,0.8443349458474483
11,percent,-0.0012971320909194693,0.9330414705538599
12,rank,0.5396361449440602,0.8959114005122857
12,percent,-0.0577845755944404,0.9916903109593644
13,rank,0.6134260132730002,0.8899012794696812
13,percent,0.009920727077558492,0.9842375768977062
14,rank,0.485831893793528,0.8840476254387813
14,percent,-0.08664081239913761,0.8959907193050805
15,rank,0.47447817704639206,0.7622640707401483
15,percent,-0.10868283884254715,0.9471879995399798
16,rank,,1.0
16,percent,,1.0
17,rank,0.4441139111701687,0.8058975040096712
17,percent,0.042415329444562264,0.8823958296228501
18,rank,0.4174899214048399,0.8958236754090445
18,percent,-0.008903537275775272,0.968122905109678
19,rank,0.6504482124115141,0.8527154869941274
19,percent,0.13592352444886951,0.9741223703922494
20,rank,0.5553208593193218,0.7228078138270174
20,percent,-0.11339135080672873,0.934348252158369
21,rank,0.5175453126856412,0.8823766990365466
21,percent,0.11164054302352568,0.9379608865026849
22,rank,0.5534624412554623,0.7658110816435559
22,percent,-0.014190626690999866,0.9246432594523503
23,rank,0.5992375616748342,0.7606224766916916
23,percent,0.021026840623560594,0.9237219897847514
24,rank,0.3215469593440754,0.8257270508423095
24,percent,-0.05832417731454539,0.7928483629516724
25,rank,0.34053835778660874,0.8266261722289079
25,percent,-0.2305712941913992,0.953545415268235
26,rank,0.6449462467126372,0.8165082735064816
26,percent,0.25658999634903246,0.9245315896487978
27,rank,0.6865478285156253,0.6920424411480991
27,percent,0.1267011478544863,0.9414190721547371
28,rank,0.45159164466190044,0.6653205725998146
28,percent,0.3520574663431807,0.6397599242918715
29,rank,0.4262890486593173,0.5970088607175768
29,percent,0.1180874680874681,0.6788488722656968
30,rank,0.46383054319069045,0.7481242129576406
30,percent,0.3170579420579421,0.711346127789688
31,rank,0.48972753501343647,0.5883616807527977
31,percent,0.20183309337721106,0.6726533286121343
32,rank,0.21487467017304587,0.7533617816904692
32,percent,-0.3106976356976357,0.9514896561847849
33,rank,0.452660677131638,0.6296549744147995
33,percent,0.36451603951603956,0.5814184203062972
34,rank,0.3218243176349987,0.6129555943612067
34,percent,0.2665417915417916,0.5462191374280092
